x,y,z,type
-200.0,200,0.0,T0
-184.01584995888697,200,0.0,T0
-215.98415004111303,200,0.0,T0
-168.03169991777395,200,0.0,T0
-231.96830008222605,200,0.0,T0
-152.0475498766609,200,0.0,T0
-247.9524501233391,200,0.0,T0
-136.06339983554787,200,0.0,T0
-263.9366001644521,200,0.0,T0
-192.0079249794435,213.84267999350595,0.0,T0
-192.0079249794435,186.15732000649405,0.0,T0
-207.9920750205565,213.84267999350595,0.0,T0
-207.9920750205565,186.15732000649405,0.0,T0
-176.02377493833046,213.84267999350595,0.0,T0
-176.02377493833046,186.15732000649405,0.0,T0
-223.97622506166954,213.84267999350595,0.0,T0
-223.97622506166954,186.15732000649405,0.0,T0
-160.03962489721744,213.84267999350595,0.0,T0
-160.03962489721744,186.15732000649405,0.0,T0
-239.96037510278256,213.84267999350595,0.0,T0
-239.96037510278256,186.15732000649405,0.0,T0
-144.05547485610438,213.84267999350595,0.0,T0
-144.05547485610438,186.15732000649405,0.0,T0
-255.94452514389562,213.84267999350595,0.0,T0
-255.94452514389562,186.15732000649405,0.0,T0
-128.07132481499136,213.84267999350595,0.0,T0
-128.07132481499136,186.15732000649405,0.0,T0
-271.9286751850086,213.84267999350595,0.0,T0
-271.9286751850086,186.15732000649405,0.0,T0
-200.0,227.68535998701194,0.0,T0
-200.0,172.31464001298806,0.0,T0
-184.01584995888697,227.68535998701194,0.0,T0
-184.01584995888697,172.31464001298806,0.0,T0
-215.98415004111303,227.68535998701194,0.0,T0
-215.98415004111303,172.31464001298806,0.0,T0
-168.03169991777395,227.68535998701194,0.0,T0
-168.03169991777395,172.31464001298806,0.0,T0
-231.96830008222605,227.68535998701194,0.0,T0
-231.96830008222605,172.31464001298806,0.0,T0
-152.0475498766609,227.68535998701194,0.0,T0
-152.0475498766609,172.31464001298806,0.0,T0
-247.9524501233391,227.68535998701194,0.0,T0
-247.9524501233391,172.31464001298806,0.0,T0
-136.06339983554787,227.68535998701194,0.0,T0
-136.06339983554787,172.31464001298806,0.0,T0
-263.9366001644521,227.68535998701194,0.0,T0
-263.9366001644521,172.31464001298806,0.0,T0
-192.0079249794435,241.5280399805179,0.0,T0
-192.0079249794435,158.4719600194821,0.0,T0
-207.9920750205565,241.5280399805179,0.0,T0
-207.9920750205565,158.4719600194821,0.0,T0
-176.02377493833046,241.5280399805179,0.0,T0
-176.02377493833046,158.4719600194821,0.0,T0
-223.97622506166954,241.5280399805179,0.0,T0
-223.97622506166954,158.4719600194821,0.0,T0
-160.03962489721744,241.5280399805179,0.0,T0
-160.03962489721744,158.4719600194821,0.0,T0
-239.96037510278256,241.5280399805179,0.0,T0
-239.96037510278256,158.4719600194821,0.0,T0
-144.05547485610438,241.5280399805179,0.0,T0
-144.05547485610438,158.4719600194821,0.0,T0
-255.94452514389562,241.5280399805179,0.0,T0
-255.94452514389562,158.4719600194821,0.0,T0
-200.0,255.37071997402387,0.0,T0
-200.0,144.62928002597613,0.0,T0
-184.01584995888697,255.37071997402387,0.0,T0
-184.01584995888697,144.62928002597613,0.0,T0
-215.98415004111303,255.37071997402387,0.0,T0
-215.98415004111303,144.62928002597613,0.0,T0
-168.03169991777395,255.37071997402387,0.0,T0
-168.03169991777395,144.62928002597613,0.0,T0
-231.96830008222605,255.37071997402387,0.0,T0
-231.96830008222605,144.62928002597613,0.0,T0
-152.0475498766609,255.37071997402387,0.0,T0
-152.0475498766609,144.62928002597613,0.0,T0
-247.9524501233391,255.37071997402387,0.0,T0
-247.9524501233391,144.62928002597613,0.0,T0
-192.0079249794435,269.2133999675298,0.0,T0
-192.0079249794435,130.78660003247018,0.0,T0
-207.9920750205565,269.2133999675298,0.0,T0
-207.9920750205565,130.78660003247018,0.0,T0
-176.02377493833046,269.2133999675298,0.0,T0
-176.02377493833046,130.78660003247018,0.0,T0
-223.97622506166954,269.2133999675298,0.0,T0
-223.97622506166954,130.78660003247018,0.0,T0
250.0,-250,0.0,dendritic_cell
265.984150041113,-250,0.0,dendritic_cell
234.01584995888697,-250,0.0,dendritic_cell
257.9920750205565,-236.15732000649405,0.0,dendritic_cell
257.9920750205565,-263.84267999350595,0.0,dendritic_cell
242.0079249794435,-236.15732000649405,0.0,dendritic_cell
242.0079249794435,-263.84267999350595,0.0,dendritic_cell
